year;month;day;hour;NO2;NO;NOx;O3;
2005;1;16;16;27.0000;2.00000;30.0667;52.0000;
2005;1;16;17;36.0000;3.00000;40.6000;35.0000;
2005;1;16;18;59.0000;31.0000;106.533;8.00000;
2005;1;16;19;66.0000;43.0000;131.933;12.0000;
2005;1;16;20;60.0000;16.0000;84.5333;12.0000;
2005;1;16;21;47.0000;8.00000;59.2667;22.0000;
2005;1;16;22;43.0000;4.00000;49.1333;24.0000;
2005;1;16;23;34.0000;3.00000;38.6000;33.0000;
2005;1;16;24;27.0000;2.00000;30.0667;38.0000;
2005;1;17;1;25.0000;2.00000;28.0667;39.0000;
2005;1;17;2;23.0000;1.00000;24.5333;39.0000;
2005;1;17;3;24.0000;1.00000;25.5333;35.0000;
2005;1;17;4;26.0000;1.00000;27.5333;31.0000;
2005;1;17;5;26.0000;1.00000;27.5333;31.0000;
2005;1;17;6;31.0000;2.00000;34.0667;26.0000;
2005;1;17;7;39.0000;4.00000;45.1333;16.0000;
2005;1;17;8;46.0000;10.0000;61.3333;13.0000;
2005;1;17;9;50.0000;17.0000;76.0667;14.0000;
2005;1;17;10;50.0000;25.0000;88.3333;18.0000;
2005;1;17;11;36.0000;10.0000;51.3333;32.0000;
2005;1;17;12;37.0000;10.0000;52.3333;36.0000;
2005;1;17;13;39.0000;9.00000;52.8000;44.0000;
2005;1;17;14;48.0000;13.0000;67.9333;35.0000;
2005;1;17;15;51.0000;11.0000;67.8667;35.0000;
2005;1;17;16;65.0000;37.0000;121.733;18.0000;
2005;1;17;17;-999;-999;-999;-999;
2005;1;17;18;71.0000;114.000;245.800;6.00000;
2005;1;17;19;66.0000;137.000;276.067;8.00000;
2005;1;17;20;58.0000;132.000;260.400;6.00000;
2005;1;17;21;59.0000;141.000;275.200;7.00000;
2005;1;17;22;55.0000;139.000;268.133;8.00000;
2005;1;17;23;54.0000;134.000;259.467;5.00000;
2005;1;17;24;50.0000;131.000;250.867;5.00000;
2005;1;18;1;49.0000;127.000;243.733;5.00000;
2005;1;18;2;48.0000;127.000;242.733;4.00000;
2005;1;18;3;48.0000;112.000;219.733;3.00000;
2005;1;18;4;47.0000;108.000;212.600;3.00000;
2005;1;18;5;45.0000;108.000;210.600;2.00000;
2005;1;18;6;46.0000;98.0000;196.267;2.00000;
2005;1;18;7;53.0000;97.0000;201.733;3.00000;
2005;1;18;8;52.0000;99.0000;203.800;3.00000;
2005;1;18;9;56.0000;121.000;241.533;3.00000;
2005;1;18;10;56.0000;113.000;229.267;3.00000;
2005;1;18;11;69.0000;154.000;305.133;4.00000;
2005;1;18;12;75.0000;76.0000;191.533;6.00000;
2005;1;18;13;71.0000;57.0000;158.400;6.00000;
2005;1;18;14;69.0000;60.0000;161.000;6.00000;
2005;1;18;15;61.0000;44.0000;128.467;3.00000;
2005;1;18;16;67.0000;53.0000;148.267;4.00000;
2005;1;18;17;68.0000;34.0000;120.133;3.00000;
2005;1;18;18;68.0000;27.0000;109.400;3.00000;
2005;1;18;19;64.0000;16.0000;88.5333;4.00000;
2005;1;18;20;67.0000;22.0000;100.733;5.00000;
2005;1;18;21;53.0000;7.00000;63.7333;19.0000;
2005;1;18;22;42.0000;3.00000;46.6000;26.0000;
2005;1;18;23;28.0000;1.00000;29.5333;38.0000;
2005;1;18;24;22.0000;1.00000;23.5333;45.0000;
2005;1;19;1;-999;-999;-999;36.0000;
2005;1;19;2;33.0000;1.00000;34.5333;30.0000;
2005;1;19;3;27.0000;1.00000;28.5333;34.0000;
2005;1;19;4;22.0000;1.00000;23.5333;39.0000;
2005;1;19;5;23.0000;1.00000;24.5333;36.0000;
2005;1;19;6;23.0000;1.00000;24.5333;35.0000;
2005;1;19;7;30.0000;2.00000;33.0667;28.0000;
2005;1;19;8;35.0000;4.00000;41.1333;26.0000;
2005;1;19;9;42.0000;7.00000;52.7333;20.0000;
2005;1;19;10;44.0000;9.00000;57.8000;20.0000;
2005;1;19;11;42.0000;11.0000;58.8667;26.0000;
2005;1;19;12;42.0000;13.0000;61.9333;29.0000;
2005;1;19;13;51.0000;16.0000;75.5333;27.0000;
2005;1;19;14;39.0000;7.00000;49.7333;47.0000;
2005;1;19;15;36.0000;6.00000;45.2000;42.0000;
2005;1;19;16;45.0000;9.00000;58.8000;32.0000;
2005;1;19;17;76.0000;25.0000;114.333;8.00000;
2005;1;19;18;73.0000;82.0000;198.733;6.00000;
2005;1;19;19;66.0000;47.0000;138.067;7.00000;
2005;1;19;20;66.0000;29.0000;110.467;8.00000;
2005;1;19;21;60.0000;19.0000;89.1333;10.0000;
2005;1;19;22;50.0000;8.00000;62.2667;18.0000;
2005;1;19;23;38.0000;4.00000;44.1333;31.0000;
2005;1;19;24;30.0000;2.00000;33.0667;38.0000;
2005;1;20;1;25.0000;2.00000;28.0667;43.0000;
2005;1;20;2;24.0000;2.00000;27.0667;43.0000;
2005;1;20;3;25.0000;1.00000;26.5333;-999;
2005;1;20;4;23.0000;1.00000;24.5333;43.0000;
2005;1;20;5;22.0000;1.00000;23.5333;43.0000;
2005;1;20;6;25.0000;2.00000;28.0667;42.0000;
2005;1;20;7;31.0000;2.00000;34.0667;35.0000;
2005;1;20;8;45.0000;7.00000;55.7333;23.0000;
2005;1;20;9;54.0000;16.0000;78.5333;16.0000;
2005;1;20;10;49.0000;15.0000;72.0000;22.0000;
2005;1;20;11;45.0000;14.0000;66.4667;28.0000;
2005;1;20;12;41.0000;10.0000;56.3333;37.0000;
2005;1;20;13;42.0000;11.0000;58.8667;37.0000;
2005;1;20;14;43.0000;9.00000;56.8000;39.0000;
2005;1;20;15;58.0000;14.0000;79.4667;29.0000;
2005;1;20;16;68.0000;19.0000;97.1333;23.0000;
